Rep,N,Crate,Model,SE1,SE2,SE3,nu
25,25,0.0,MSLR,0.239830821125408,0.507623795054997,0.237671381453156,4
25,25,0.0,MVNCR,0.243761094566019,0.49380682827748,0.223581168007473,4
25,25,0.0,MVTCR,0.241773027100318,0.510692678599619,0.237262074598778,4
25,25,0.0,MSLCR,0.240303003275444,0.506938446226035,0.236874172997632,4
26,25,0.0,MVNR,0.236808407317386,0.648660391514651,0.33544408924693,4
26,25,0.0,MVTR,0.233245996261659,0.66412986422493,0.341754853519566,4
26,25,0.0,MSLR,0.233618369703485,0.663496077329215,0.340553870364815,4
26,25,0.0,MVNCR,0.236808407317387,0.648660391514653,0.335444089246931,4
26,25,0.0,MVTCR,0.233245996265293,0.66412986424642,0.34175485353006,4
26,25,0.0,MSLCR,0.226501666526042,0.675104805882581,0.344945394447306,4
27,25,0.0,MVNR,0.343214525878684,0.844221053480195,0.378520172449815,4
27,25,0.0,MVTR,0.216156767887039,0.505574983134557,0.238915020401937,4
27,25,0.0,MSLR,0.207294847834194,0.491352863396115,0.234109399448504,4
27,25,0.0,MVNCR,0.343214525878686,0.844221053480211,0.378520172449821,4
27,25,0.0,MVTCR,0.216156767888173,0.505574983138055,0.238915020403208,4
27,25,0.0,MSLCR,0.20838236164121,0.494950746396994,0.235297839372898,4
28,25,0.0,MVNR,0.377224622109582,0.968623865551598,0.450831234834352,4
28,25,0.0,MVTR,0.230758141722276,0.589718050667449,0.304837073929106,4
28,25,0.0,MSLR,0.230496010554094,0.558108473036423,0.288997642713253,4
28,25,0.0,MVNCR,0.377224622109583,0.968623865551608,0.450831234834358,4
28,25,0.0,MVTCR,0.230758141714229,0.589718050651883,0.304837073923238,4
28,25,0.0,MSLCR,0.23110474381673,0.559263147127184,0.289189405532401,4
29,25,0.0,MVNR,0.21782068576646,0.782582657264059,0.406050168975855,4
29,25,0.0,MVTR,0.20271106802047,0.626762642516256,0.32067731150818,4
29,25,0.0,MSLR,0.207865237339599,0.628594651543955,0.316800596581616,4
29,25,0.0,MVNCR,0.217820685766464,0.782582657264099,0.406050168975875,4
29,25,0.0,MVTCR,0.202711076205701,0.626762675696418,0.320677326858946,4
29,25,0.0,MSLCR,0.208173769037497,0.631153159904305,0.317923822345362,4
30,25,0.0,MVNR,0.191461405237941,0.499328044007839,0.25348556234013,4
30,25,0.0,MVTR,0.191461407853583,0.499328300208873,0.253485674593431,4
30,25,0.0,MSLR,0.191117932041658,0.498818371510053,0.253199299539004,4
30,25,0.0,MVNCR,0.191461405237941,0.499328044007846,0.253485562340133,4
30,25,0.0,MVTCR,0.191462382695637,0.501010897584367,0.254220900215739,4
30,25,0.0,MSLCR,0.191143456386229,0.504762281136866,0.255822891452149,4
31,25,0.0,MVNR,0.239486127191742,0.581880700281782,0.283710030432997,4
31,25,0.0,MVTR,0.249511909808695,0.57247901812261,0.277076931948071,4
31,25,0.0,MSLR,0.247010525394763,0.56931407981433,0.274518173647004,4
31,25,0.0,MVNCR,0.239486127191741,0.581880700281778,0.283710030432995,4
31,25,0.0,MVTCR,0.249511909817815,0.572479018095437,0.277076931932276,4
31,25,0.0,MSLCR,0.249369913483323,0.565181765053072,0.271761775041286,4
32,25,0.0,MVNR,0.198693007015587,0.60992438101585,0.321387220847422,4
32,25,0.0,MVTR,0.198807929369132,0.610278741660153,0.321542297718728,4
32,25,0.0,MSLR,0.198713198927293,0.609991193463892,0.321417240378983,4
32,25,0.0,MVNCR,0.198693007015588,0.609924381015859,0.321387220847427,4
32,25,0.0,MVTCR,0.198807929755179,0.610278742850006,0.321542298300769,4
32,25,0.0,MSLCR,0.199898499690723,0.618106842924,0.325358533143601,4
33,25,0.0,MVNR,0.249758721593727,0.637958061262623,0.338960973366169,4
33,25,0.0,MVTR,0.24754539075219,0.625351171811943,0.330356306550372,4
33,25,0.0,MSLR,0.249145447478797,0.634047889308036,0.33632310439087,4
33,25,0.0,MVNCR,0.249758721593726,0.637958061262612,0.338960973366163,4
33,25,0.0,MVTCR,0.24754539073824,0.625351171777661,0.330356306532576,4
33,25,0.0,MSLCR,0.240773187434654,0.589004872787355,0.306670154684697,4
34,25,0.0,MVNR,0.235750525234061,0.522665928755507,0.246808878858447,4
34,25,0.0,MVTR,0.23317770511471,0.512389663447487,0.244186116078319,4
