Rep,N,Crate,Model,LogLik,AIC,BIC,nu
6,25,0.0,MVTCR,-215.58992026212,469.179840524241,492.338481196736,4
6,25,0.0,MSLCR,-215.816853339596,469.633706679193,492.792347351689,4
7,25,0.0,MVNR,-217.035974905849,470.071949811699,492.011714659326,4
7,25,0.0,MVTR,-216.418332463768,470.836664927536,493.995305600032,4
7,25,0.0,MSLR,-216.814223572761,471.628447145522,494.787087818018,4
7,25,0.0,MVNCR,-217.035974905849,470.071949811699,492.011714659326,4
7,25,0.0,MVTCR,-216.418332463766,470.836664927532,493.995305600028,4
7,25,0.0,MSLCR,-216.818082843701,471.636165687402,494.794806359898,4
8,25,0.0,MVNR,-196.248918946387,428.497837892774,450.437602740402,4
8,25,0.0,MVTR,-196.252842807661,430.505685615322,453.664326287818,4
8,25,0.0,MSLR,-196.253454952881,430.506909905761,453.665550578257,4
8,25,0.0,MVNCR,-196.248918946387,428.497837892774,450.437602740402,4
8,25,0.0,MVTCR,-196.252842806462,430.505685612925,453.664326285421,4
8,25,0.0,MSLCR,-196.269681358917,430.539362717835,453.69800339033,4
9,25,0.0,MVNR,-216.885929108511,469.771858217023,491.71162306465,4
9,25,0.0,MVTR,-214.068348234137,466.136696468274,489.29533714077,4
9,25,0.0,MSLR,-214.350048767955,466.70009753591,489.858738208406,4
9,25,0.0,MVNCR,-216.885929108511,469.771858217023,491.71162306465,4
9,25,0.0,MVTCR,-214.068348234179,466.136696468357,489.295337140853,4
9,25,0.0,MSLCR,-215.398364606573,468.796729213146,491.955369885642,4
10,25,0.0,MVNR,-229.223928492623,494.447856985245,516.387621832873,4
10,25,0.0,MVTR,-228.236221895931,494.472443791861,517.631084464357,4
10,25,0.0,MSLR,-228.546982136911,495.093964273821,518.252604946317,4
10,25,0.0,MVNCR,-229.223928492623,494.447856985245,516.387621832873,4
10,25,0.0,MVTCR,-228.236221895876,494.472443791752,517.631084464247,4
10,25,0.0,MSLCR,-228.572346975455,495.14469395091,518.303334623406,4
11,25,0.0,MVNR,-209.529762656994,455.059525313988,476.999290161616,4
11,25,0.0,MVTR,-209.529870804891,457.059741609781,480.218382282277,4
11,25,0.0,MSLR,-209.533562059095,457.06712411819,480.225764790686,4
11,25,0.0,MVNCR,-209.529762656994,455.059525313988,476.999290161616,4
11,25,0.0,MVTCR,-209.529870869465,457.059741738931,480.218382411427,4
